document,0,1,2,3,4,5,6,7,8,9,10,11
290,0.09317032,,,0.1333052,0.20258088,0.039463677,,,0.51744264,,,
291,,0.20367594,,0.10206931,0.27577734,,0.3346469,,0.062358886,,,
292,,0.08418056,,0.05726125,0.19334461,,0.18790054,,0.43425807,,,0.034292843
293,,,0.06383212,0.16900824,0.38678625,,0.297321,,0.060677443,,,
294,,,,0.1589227,0.27219215,,0.23727146,,0.23360796,,0.079126224,
295,,,,,0.5208879,,,,0.45835534,,,
296,,,,0.1725004,0.34639478,,0.39418337,,0.060330212,,,
297,0.04515305,0.09659766,,,,,0.06589548,,0.78554416,,,
298,0.10373595,,,0.24184671,0.2646278,0.10309085,,,0.265933,,,
299,,,,0.16414319,0.07113782,,0.517327,,0.07772779,,0.059519287,0.09101982
300,,,,0.12862197,0.41321647,0.08639413,0.27152196,,0.07769809,,,
301,0.052767072,,,0.047043834,0.09604151,,0.07240552,,0.7216962,,,
302,,0.0528988,,0.20872934,0.20574032,,0.2662258,,,,,0.24274665
303,0.05772971,,,0.119826265,0.16459993,,0.09696755,0.023299046,0.33709043,,,0.18802375
304,,,,0.30300996,0.18058215,,0.2343657,,0.19636832,0.06765434,,
305,,,0.041099876,0.090136394,0.13936086,0.026850592,,,0.67935824,0.012551439,,
306,,,,0.022240035,0.3323469,,,,0.45764038,,,0.17371811
307,,,,0.2998848,0.18944171,,0.26335412,,,,,0.22526483
308,,0.11323153,,0.45421723,0.08582247,0.14004871,,,,,,0.18675338
309,,,,0.122580566,0.43518925,,,,0.42260844,,,
310,0.27370426,,,0.13154967,0.3429751,,0.18029769,,0.027494097,,0.024533808,
311,0.045203105,,,0.17152585,0.22850434,,0.4218375,,,,,0.11154477
312,,,,0.2759281,0.19420916,0.057431653,0.17064975,,0.20790015,0.07983525,,
313,,,,0.05992174,0.27499866,,,,0.6538995,,,
314,,,,0.43444902,0.1741381,0.078681946,0.1893332,,0.042678114,,,0.06584631
315,,,,0.066338345,0.16800305,,0.38712627,,0.28804633,0.067512274,,
316,0.10193525,0.04005221,,0.3251889,0.20310466,0.0774097,,,0.20295927,0.0407169,,
317,,,,0.34010765,0.25994584,,,,0.31732687,0.06652384,,
318,,0.05849333,,0.42731768,0.07753005,0.14457324,0.23227672,,0.047097173,,,
319,,0.058636073,,0.31800064,0.26597768,,0.28037995,,0.057232413,,,
320,,,,0.21198297,0.30790392,,0.3039098,,0.04882175,0.042725638,,0.07450833
321,0.05203886,,,0.30816692,0.4903395,,0.10125083,,,,0.026377691,
322,,,,0.167931,0.45098102,,0.1801227,,0.05062619,,,0.13301402
323,0.23260818,,,0.21425876,0.29730943,0.0929386,,,0.020182855,,,0.12682489
324,0.09449693,0.10453328,,0.18741402,0.09757527,,0.21477596,,0.25544053,,0.03663647,
325,,,,0.07012072,0.10586658,,0.09294171,,0.72421616,,,
326,0.03550439,,,0.17168008,0.15618247,0.06560354,0.21020532,,0.34994254,,,
327,,,,0.37761566,0.31277767,,0.15731353,,,,,0.1321467
328,,,,0.19690044,0.14862785,0.054484673,0.51323164,,0.066578194,,,
329,,,,0.30568755,0.03414669,,0.5663715,,,,0.069126956,
330,,0.04240233,,0.07760428,0.12648796,0.02715115,0.13809527,,0.55465937,0.025735121,,
331,,0.17644326,,0.4235604,0.36781698,,,0.01157645,,,,
332,,,,0.21090132,0.21413785,,0.34501773,,0.06721968,0.14092615,,
333,,,,0.042694014,0.21230814,,0.059965305,,0.65016323,,0.025924278,
334,,0.08189594,,0.2729571,0.26136458,,0.28480017,,0.04483443,,0.04039519,
335,,0.23509951,,0.13015348,0.17139727,,0.15895131,,0.24687292,0.044673823,,
336,,0.04533873,,0.13871092,0.55560625,,0.114889525,,0.13072076,,,
337,0.04566451,0.07150899,,0.24755153,0.22857058,,0.11448597,,0.21510415,0.06149404,,
