document,0,1,2,3,4,5,6,7,8,9,10
215,0.21259467,0.16873719,,0.21741602,0.05501653,,0.11686205,0.19229206,0.020275256,,
216,,0.1930845,,0.40910265,0.09086117,,,,,0.2818879,
217,,0.15358435,,0.24823976,0.3602202,0.05631555,,,,0.15806086,
218,,0.2168027,,0.11705631,0.33450076,,,,,0.1689363,0.1459765
219,,0.23267622,,,0.11062637,0.022464447,,,0.023274679,,0.5910079
220,,0.10250626,,0.50586116,0.13457549,0.05466857,,,,0.19227172,
221,0.07908558,0.16311023,,0.24670142,0.11856899,0.05814934,,0.22636905,0.011422144,0.08638407,
222,,0.12915598,,0.16017473,0.3302788,0.058944557,,,,0.2311047,0.079747155
223,,0.33787408,,0.12842175,0.43565968,0.0761441,,,,,
224,0.16918258,0.23865919,,0.06633711,0.2210535,0.079311304,,,,,0.20979053
225,0.03522777,0.036797516,,0.07973939,0.59332967,0.23236032,,,,,
226,,0.13415848,0.033618867,0.42963734,0.16297522,,,,,0.10789114,0.11293453
227,,0.1787199,,0.16422005,0.37095076,0.04276394,0.10203428,,,0.12837341,
228,,0.21206106,,,0.3339172,0.13234402,,,,0.07496392,0.22834845
229,,0.07560027,,0.32581294,0.30186814,0.11012209,,,,0.16312322,
230,0.07487914,0.2266916,,0.16336054,0.28474426,0.019984229,,,0.02792473,0.14385419,0.049328145
231,,0.014099734,,0.33926052,0.3019089,0.1003372,,0.085774675,,0.14974385,
232,,,,0.60482264,0.19377214,,,,,0.18433253,
233,,0.29497862,,0.1183039,0.19505362,,0.11943846,,,0.24980839,
234,,0.047406267,,0.48396444,0.39126363,0.05731137,,,,,
235,,0.20715097,,0.30067804,0.35861784,,,0.110272035,,,
236,,0.10332601,,,0.39695716,0.026894117,,0.38480157,,0.069926806,
237,,0.0466393,,0.66519994,0.21732044,,,,,0.05930219,
238,,0.1698012,,,0.12705332,0.035658047,,,0.017063059,,0.6371234
239,,0.04111051,,0.36897987,0.3516124,,,,,0.15783179,0.061238356
240,,,,0.07440181,0.60658544,0.09773621,,,,,0.19450189
241,0.111792624,0.098474406,,0.04683204,0.49691752,0.06428309,,,,0.112435654,0.056040917
242,0.13545363,,,0.1914022,0.4654784,0.09253373,,,0.040542953,0.0544007,
243,,,,0.21509546,0.53097343,0.10540342,,0.11342691,0.013255964,,
244,,,,0.49847284,0.21783344,,0.15411212,0.107884645,,,
245,0.074296765,0.29710662,,0.094674475,0.16671318,,,,,,0.35260063
246,,0.13149016,0.019710187,0.56044835,0.17088929,0.038168702,,,0.06549067,,
247,,0.27307108,,0.03904119,0.32947707,0.12236543,,0.21626726,,,
248,,0.26281282,0.018449364,0.34118885,0.13156377,,0.08210302,,,0.1563614,
249,,0.39076477,0.02525868,0.07106201,0.17429641,0.14999875,,,,0.048490304,0.13128154
250,0.16440424,0.03321919,,0.3452662,0.32930577,0.04977268,,0.06337336,,,
