document,0,1,2,3
618,0.2950547,0.028321318,0.33358878,0.34303516
619,0.47377554,0.078671865,0.23686558,0.21068697
620,0.08017692,0.23192637,0.4618881,0.22600864
621,0.22119483,0.16191436,0.46291998,0.15397084
622,,0.010669476,0.109618306,0.8796922
623,0.7115773,0.09982778,0.12782426,0.060770612
624,0.864189,0.012823474,0.073511645,0.04947585
625,0.61974496,0.061410505,0.22970627,0.08913829
626,0.4963741,0.0671736,0.31455338,0.121898875
627,0.524417,0.09188844,0.29935613,0.08433849
628,0.79294294,0.050403945,0.10261271,0.054040417
629,0.09275041,0.25678235,0.5245692,0.125898
630,0.20815435,0.11526324,0.5647418,0.11184065
631,0.56559056,0.12204455,0.20266923,0.109695725
632,0.16694266,0.1495796,0.43830568,0.24517211
633,0.6036951,0.08500671,0.19700791,0.114290304
634,0.72979325,0.070037775,0.15242183,0.047747113
635,0.14846328,0.0656249,0.44024634,0.3456655
636,0.73165697,,0.14773676,0.11069835
637,0.8051913,0.0580601,0.10906151,0.02768711
638,0.40680832,0.17414176,0.25334236,0.16570754
639,0.7609323,0.024078878,0.1432212,0.071767606
640,0.47320887,0.27149838,0.16920331,0.08608942
641,0.78876495,,0.15539369,0.04972501
642,0.7226763,0.01780332,0.10781955,0.15170081
643,0.73479843,0.08907495,0.12866144,0.04746521
644,0.56237996,0.08647757,0.21066947,0.14047304
645,0.106020525,0.040141903,0.5338297,0.32000783
646,0.34516758,0.16885366,0.27906427,0.20691447
647,0.3117338,0.053316023,0.40772942,0.22722076
648,0.77420735,,0.1085065,0.117271125
649,0.8950819,0.055939022,0.040402062,
650,0.27952018,0.12886006,0.38662538,0.20499443
651,0.69544464,0.035946786,0.20897934,0.059629206
652,0.59203005,0.058574796,0.23543109,0.113964096
653,0.70293283,0.031640753,0.21320894,0.052217517
654,0.9082745,0.033046216,0.04221416,0.016465176
655,0.8019946,0.034196362,0.111393295,0.052415732
656,0.94440114,,0.055583116,
657,0.0739459,0.20371577,0.50759965,0.21473865
658,0.049642775,0.0525778,0.32239112,0.5753883
659,0.53166723,0.12755233,0.18460055,0.1561799
660,0.5005163,0.06955958,0.13346212,0.29646197
661,0.5182066,0.07211365,0.29022425,0.11945556
662,0.53659004,0.08134576,0.26853037,0.1135338
663,0.11042645,0.07642921,0.32755628,0.48558807
664,0.47238332,0.13915047,0.20104425,0.18742196
665,0.049471013,0.06337089,0.64759225,0.23956583
666,0.25300843,0.13172781,0.2756017,0.33966208
667,0.2182143,0.06873998,0.48176128,0.23128444
668,0.8032085,0.021923479,0.087096915,0.08777114
669,0.060337543,0.077165194,0.74450475,0.11799248
670,0.19488987,0.3373186,0.30121887,0.16657269
671,0.36454087,0.058638494,0.3122795,0.26454115
672,0.19438364,0.17858148,0.3756853,0.25134957
673,0.5777925,0.107666366,0.23536482,0.07917627
674,0.7304688,0.026210899,0.10441654,0.1389037
675,0.60140866,0.07812001,0.15467802,0.16579334
676,0.16725564,0.08155651,0.37662524,0.37456262
677,0.99804074,,,
678,0.29254663,0.048510894,0.31666827,0.34227425
